Sample type,PSIP1,S100A9
CRCA,24.32900876,22.10830806
CRCA,23.25256005,23.23655553
CRCA,21.87871478,20.18472088
CRCA,21.80405065,18.24653359
CRCA,22.3699599,22.89075254
CRCA,27.42552806,20.79597452
CRCA,20.77881187,20.01694015
CRCA,19.91641745,17.78836606
CRCA,23.81374206,21.63974977
CRCA,26.32891707,19.79204029
CRCA,25.10037144,19.83975414
CRCA,23.42033581,19.24359339
CRCA,22.83522258,19.92231172
CRCA,24.05693744,18.03854807
CRCA,24.80320085,20.17493038
CRCA,24.67890496,19.97336168
CRCA,25.65807373,18.72735007
CRCA,25.50571012,19.89962264
CRCA,26.00790594,20.71926529
CRCA,25.23560943,19.0842708
CRCA,25.77490728,20.04462189
CRCA,25.91180962,19.20490803
CRCA,24.8734397,19.34610348
CRCA,25.01542789,19.10541803
CRCA,25.22309616,21.45294383
CRCA,25.97534462,21.10105304
CRCA,24.79759634,20.17688019
CRCA,25.10564759,24.23657712
CRCA,26.15161955,21.26610019
CRCA,21.82623801,19.22087707
CRCA,22.6776318,18.05819865
CRCA,23.83376643,20.91612884
CRCA,21.48641524,19.72788998
CRCA,22.79617589,18.51113088
CRCA,22.69096927,22.39174483
CRCA,24.31538344,20.46463845
CRCA,22.9129527,20.9486613
CRCA,22.73564846,20.24196062
CRCA,25.25834255,19.23179152
CRCA,25.55221647,20.13152343
CRCA,22.42029608,20.47610781
CRCA,23.56659156,19.63563315
CRCA,19.60517241,20.34400463
CRCA,23.51344792,18.88848398
CRCA,22.29074699,20.21044372
CRCA,24.56252854,21.83119864
CRCA,24.75480785,20.67440067
CRCA,25.54170822,20.62646367
CRCA,25.10289403,22.57142605
CRCA,26.39725119,21.40249362
CRCA,26.18720076,22.76013489
CRCA,24.54750851,22.1757126
CRCA,26.45972077,24.12538926
CRCA,22.59075818,19.82879563
CRCA,24.98126661,20.45331412
CRCA,25.83574744,20.22074795
CRCA,25.20380123,21.03943722
CRCA,26.83480654,20.84847344
CRCA,24.06256806,19.68925738
CRCA,24.74491135,20.16255711
CRCA,25.10405804,22.30613879
CRCA,24.16661126,22.17441352
CRCA,24.03822621,20.98648362
CRCA,23.39416409,20.45175182
CRCA,21.99691532,20.0643636
CRCA,24.69421588,18.59710345
CRCA,23.28744926,20.41496661
CRCA,23.3403865,19.7726364
CRCA,24.0746262,20.70996771
STAD,24.4474318,19.04600789
STAD,23.74948187,19.4193414
STAD,18.50562453,20.25703573
STAD,24.2182812,19.91580793
STAD,25.01673821,19.98857367
STAD,25.03714748,19.8314526
STAD,24.81445533,18.77421658
STAD,25.911976,19.89123986
STAD,25.66520042,20.73026437
STAD,25.24137049,20.8093503
STAD,25.01394396,18.9323749
STAD,26.40093729,19.55424351
STAD,25.95335239,20.72088303
STAD,23.70972823,18.49123098
STAD,25.6323157,19.77595007
STAD,25.08006662,25.49952554
STAD,22.22342257,18.52415654
STAD,24.02319842,18.38670068
STAD,21.59373411,17.76641768
STAD,24.86728214,19.85625998
STAD,26.73214844,21.01831636
STAD,25.4974702,21.78677773
STAD,25.02832783,21.59372534
STAD,25.66851517,20.66136309
STAD,25.30714177,20.5110988
STAD,25.97529119,21.05413932
STAD,26.540953,20.38621712
STAD,25.90671455,21.84844991
STAD,25.31205082,22.41934483
STAD,26.23241541,23.20145126
STAD,24.9940638,18.9062167
STAD,24.67354969,22.47839131
STAD,24.42815118,17.78832815
STAD,25.64207886,20.61665764
STAD,25.19752438,19.04322787
STAD,20.81629307,19.80980339
STAD,19.20167885,20.08333028
STAD,24.89957116,19.62062055
STAD,26.83347862,23.10902213
STAD,25.97245808,21.94835127
STAD,23.42058958,19.80508572
STAD,20.6971655,21.05528655
STAD,22.64144997,25.07391267
STAD,22.5282386,25.06609271
STAD,22.77335656,19.82994958
STAD,25.02183235,20.47925165
STAD,23.84611061,19.96534295
