Exp,Sample type,ACTB_large_than_C8G,ACTB_large_than_MST1,ACTB_large_than_RPRD1B,ACTN1_large_than_ENO1,AHNAK_large_than_BLMH,AHNAK_large_than_CAMP,AHNAK_large_than_LAMB1,AHNAK_large_than_PKM,ALDOA_large_than_THBS1,APOD_large_than_FN1,BLMH_large_than_CAMP,BLMH_large_than_PKM,C1R_large_than_C2,C5_large_than_C7,C6_large_than_C8G,CFL1_large_than_ICAM1,CFL1_large_than_LDHB,CLIC1_large_than_LAMB1,ENO1_large_than_GDI2,ENO1_large_than_HNF4A,ENO1_large_than_ICAM1,ENO1_large_than_LDHB,FBLN1_large_than_PSMC1,FN1_large_than_PROS1,GDI2_large_than_TAGLN2,GSTO1_large_than_LCP1,GSTO1_large_than_MYH9,GSTO1_large_than_TGFBI,HNF4A_large_than_PKM,HSPA8_large_than_PKM,ICAM1_large_than_MYH9,ICAM1_large_than_TPM4,LCP1_large_than_TPM4,LDHB_large_than_TAGLN2,MPO_large_than_TIMP1,MST1_large_than_PSMC1,MST1_large_than_YWHAZ,MYH9_large_than_TGFBI,PCBP2_large_than_SERPINF1,PKM_large_than_S100A8,TFRC_large_than_YWHAZ
Exp087462,CRCA,-1,1,-1,-1,0,0,0,0,-1,-1,0,0,1,1,-1,-1,-1,0,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1
Exp079228,CRCA,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,1,1
Exp075580,CRCA,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,-1,-1,1,1,-1,-1,1,1,1,1,-1,1,-1,-1,1,-1,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,0,-1
Exp075581,CRCA,-1,1,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,0,-1,1,-1,0,-1,1,-1,1,-1,-1,0,-1,1,-1
Exp075584,CRCA,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1
Exp075585,CRCA,1,1,1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,1,1,0,1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,0,1,-1,-1,1,1
Exp075588,CRCA,-1,1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,0,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1
Exp075589,CRCA,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,1,1,1,0,1,1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,1
Exp076193,CRCA,-1,1,-1,1,-1,1,0,-1,1,-1,1,1,-1,-1,1,1,-1,0,-1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,-1,-1
Exp079142,CRCA,1,1,1,-1,0,0,0,0,1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1
Exp079146,CRCA,-1,1,1,1,0,0,0,0,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1
Exp079147,CRCA,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1
Exp079148,CRCA,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1
Exp079162,CRCA,1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1
Exp079183,CRCA,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1,1,1
Exp079184,CRCA,-1,-1,-1,1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,-1,1,-1,-1,1,1
Exp079210,CRCA,-1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1
Exp079212,CRCA,-1,1,1,-1,0,0,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,0,1,-1,-1,1,1,-1,-1,1,1,1,1,-1,0,1,-1,-1,1,-1
Exp079214,CRCA,1,1,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1
Exp079246,CRCA,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1
Exp079249,CRCA,1,1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,1,-1
Exp079283,CRCA,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1,1,-1,1,1,1,0,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,0,-1,1,1,1,-1
Exp079286,CRCA,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1
Exp079297,CRCA,1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1
Exp081460,CRCA,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1
Exp081465,CRCA,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1
Exp081468,CRCA,-1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1,-1,1,1
Exp081472,CRCA,-1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1
Exp081474,CRCA,-1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1
Exp081475,CRCA,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,1,1,0,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,0,-1,-1,-1,-1,-1
